"","Group.1","Group.2","x"
"146","Denmark",1996,43.4532786885246
"147","Dominican Republic",1996,78.4925501432665
"148","Egypt",1996,71.3245901639344
"149","Equador",1996,66.3667189952904
"150","Ethiopia",1996,61.6589235127479
"151","Finland",1996,40.0467213114754
"152","France",1996,54.3235294117647
"153","Gabon",1996,78.6580392156863
"154","Gambia",1996,77.9814685314685
"155","Georgia",1996,55.5934426229508
"156","Germany",1996,47.209328358209
"157","Greece",1996,64.5412568306011
"158","Guatemala",1996,66.5852830188679
"159","Guinea",1996,80.8463126843658
"160","Guinea-Bissau",1996,83.1595375722543
"161","Guyana",1996,83.55625
"162","Haiti",1996,86.0994594594595
"163","Honduras",1996,70.496338028169
"164","Hong Kong",1996,74.9710382513661
"165","Hungary",1996,48.6193989071038
"166","Iceland",1996,41.1639344262295
"167","India",1996,79.8413580246914
"168","Indonesia",1996,81.8909090909091
"169","Ireland",1996,48.2084699453552
"170","Israel",1996,72.3535460992908
"171","Italy",1996,55.8311475409836
"172","Ivory Coast",1996,80.5137741046832
"173","Japan",1996,54.4428961748634
"174","Jordan",1996,64.3901639344262
"175","Kazakhstan",1996,46.7256830601093
"176","Kenya",1996,68.0369369369369
"177","Kuwait",1996,80.3704918032787
"178","Laos",1996,80.8238356164384
"179","Latvia",1996,41.9885245901639
"180","Lebanon",1996,69.3409836065574
"181","Macedonia",1996,55.2694214876033
"182","Madagascar",1996,65.7337912087912
"183","Malawi",1996,69.9193277310924
"184","Malaysia",1996,81.556043956044
"185","Mauritania",1996,78.1389937106918
"186","Mexico",1996,69.3016949152542
"187","Mongolia",1996,30.5439436619718
"188","Morocco",1996,63.5098360655738
"189","Mozambique",1996,74.1400621118012
"190","Myanmar (Burma)",1996,81.3220385674931
"191","Namibia",1996,68.3904109589041
"192","Nepal",1996,64.2189102564103
"193","New Zealand",1996,59.4644808743169
"194","Nicaragua",1996,79.8556
"195","Nigeria",1996,85.7753462603878
"196","North Korea",1996,50.7732240437158
"197","Norway",1996,38.2469945355191
"198","Pakistan",1996,74.5626886145405
"199","Panama",1996,79.4218579234973
"200","Peru",1996,65.0806010928962
"201","Philippines",1996,81.3609289617486
"202","Poland",1996,44.392349726776
"203","Portugal",1996,62.8467213114754
"204","Qatar",1996,81.5274725274725
"205","Romania",1996,50.4357923497268
"206","Russia",1996,48.2202739726027
