"","Group.1","Group.2","x"
"141","Africa",2015,74.8688202247191
"142","Asia",2015,68.667071952032
"143","Australia/South Pacific",2015,62.5127289377289
"144","Europe",2015,52.6155651269865
"145","Middle East",2015,75.4660668380463
"146","North America",2015,57.4606087408949
"147","South/Central America & Carribean",2015,73.8938533383819
"148","Africa",2016,75.2832570599397
"149","Asia",2016,68.8547531380753
"150","Australia/South Pacific",2016,62.9878564857406
"151","Europe",2016,52.0093379114727
"152","Middle East",2016,75.1171895143962
"153","North America",2016,58.2909961553116
"154","South/Central America & Carribean",2016,73.6189982728843
"155","Africa",2017,74.945005022882
"156","Asia",2017,68.4576696287684
"157","Australia/South Pacific",2017,62.9665143901325
"158","Europe",2017,52.0516404394299
"159","Middle East",2017,75.0220463906352
"160","North America",2017,57.9192518564786
"161","South/Central America & Carribean",2017,73.4170549860205
"162","Africa",2018,74.6802024482109
"163","Asia",2018,68.4552109598252
"164","Australia/South Pacific",2018,62.8166666666667
"165","Europe",2018,52.851073371563
"166","Middle East",2018,76.2309207708779
"167","North America",2018,57.0093047070258
"168","South/Central America & Carribean",2018,72.6772054794521
"169","Africa",2019,75.0926282427515
"170","Asia",2019,68.6672094617758
"171","Australia/South Pacific",2019,63.3238515081206
"172","Europe",2019,52.8637504614249
"173","Middle East",2019,74.9327551250282
"174","North America",2019,56.7773945495574
"175","South/Central America & Carribean",2019,73.197650020982
"176","Africa",2020,75.1932917316693
"177","Asia",2020,61.8679292356543
"178","Australia/South Pacific",2020,68.1143034825871
"179","Europe",2020,45.2077514673143
"180","Middle East",2020,64.0805746408495
"181","North America",2020,47.4968043868772
"182","South/Central America & Carribean",2020,74.0166666666667
